298	0	1911
298	4	2466
1517	6	2004
2004	5	2466
1911	7	2466
193	2	1539
193	3	2033
193	0	1911
193	4	2465
1539	6	2033
2033	5	2465
1911	7	2465
73	2	1720
73	3	2052
73	0	1911
73	4	2468
73	1	2397
1720	6	2052
2052	5	2468
1911	7	2468
2468	5	2397
591	2	1720
591	3	2345
591	0	1911
591	4	2468
1720	6	2345
2345	5	2468
1911	7	2468
59	2	1517
59	0	1911
59	4	2466
59	1	2397
1911	7	2466
2466	5	2397
5	2	1517
5	3	2002
5	0	1911
5	4	2466
5	1	2397
1517	6	2002
2002	5	2466
1911	7	2466
2466	5	2397
1305	2	1707
1305	3	2124
1305	0	1911
1305	4	2466
1305	1	2454
1707	6	2124
2124	5	2466
1911	7	2466
2466	5	2454
411	3	2235
411	0	1911
411	4	2465
2235	5	2465
1911	7	2465
296	2	1517
296	3	2278
296	0	1911
296	4	2466
1517	6	2278
2278	5	2466
1911	7	2466
1344	2	1740
1344	3	2194
1344	0	1911
1344	4	2466
